"licence_numbers","business_name","name_of_license","premise_address","Postal.Code","Lat","Long"
"SSW20071V000","Don don donki","PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.","1 MARITIME SQUARE #03-23/38, HARBOURFRONT CENTRE S(099253)","099253",1.26401293230767,103.82005101011
"SSW20073P000","Frozen bagus","TANG KER AN, TIMOTHY","352 CLEMENTI AVENUE 2 #01-137, CLEMENTI AVENUE 2 SHOPPING CENTRE S(120352)","120352",1.31427860227337,103.771350557894
"SSW20085J000","The seafood place by chai","CHAI SEAFOOD","148F PASIR PANJANG ROAD, S(118553)","118553",1.27656491174,103.792125884569
"SSW20088B000","123 mart","123 MART PTE. LTD.","354 CLEMENTI AVENUE 2 #01-233, CLEMENTI AVENUE 2 SHOPPING CENTRE S(120354)","120354",1.31351386405455,103.770861088889
"SSW21007E000","Hao mart","HAO MART PTE. LTD.","4 JALAN MAT JAMBOL #B1-01/11, BIJOU S(119555)","119555",1.27685386351985,103.791742171785
"SSW21021K000","Karaikudi minimart","SRI SEVUGA PERUMAL PTE. LTD.","48 TOH GUAN ROAD EAST #01-98, ENTERPRISE HUB S(608586)","608586",1.33677373268472,103.75436219411
"SSW21031E000","Ggm minimart","GOWRI'S GLOBAL MARKETING PTE. LTD.","1A TUAS AVENUE 2 #01-03, S(639467)","639467",1.32160943931496,103.649583557099
"SSW21037P000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","533 CHOA CHU KANG STREET 51 #01-01, LIMBANG SHOPPING CENTRE S(680533)","680533",1.39207387937105,103.743099576162
"SW04097K000","Prime supermarket","PRIME SUPERMARKET LIMITED","159 BUKIT BATOK STREET 11 #01-178, S(650159)","650159",1.34857537953675,103.742708636413
"SW04158X000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","108 DEPOT ROAD #01-01, DEPOT HEIGHTS SHOPPING CENTRE S(100108)","100108",1.28096680702384,103.810298189643
"SW05008N000","Giant","COLD STORAGE SINGAPORE (1983) PTE LTD","638 JURONG WEST STREET 61 #03-01, PIONEER MALL S(640638)","640638",1.34167331883255,103.697244542805
"SW05051J000","Sheng siong supermarket","SHENG SIONG SUPERMARKET PTE LTD","720 CLEMENTI WEST STREET 2 #01-144, S(120720)","120720",1.30246408847832,103.763750972451
"SW06002X000","Toh guan minimart","TOH GUAN MINI MART PTE. LTD.","19 TOH GUAN ROAD EAST #01-65, S(608568)","608568",1.33833282914969,103.753535227945
"SW06590A000","Fairprice xtra","NTUC FAIRPRICE CO-OPERATIVE LTD","1 HARBOURFRONT WALK #01-23,#B1-23, VIVOCITY S(098585)","098585",1.26434458658544,103.822476140505
"SW06806E000","Lotte korean mart","LOTTE MART PTE. LTD.","17 LORONG KILAT #01-02, KILAT COURT S(598139)","598139",1.34082770311651,103.774215677961
"SW07070J000","Giant","COLD STORAGE SINGAPORE (1983) PTE LTD","284 BUKIT BATOK EAST AVENUE 3 #01-251, S(650284)","650284",1.34669905221409,103.757276700998
"SW07209E000","Sheng siong supermarket","SHENG SIONG SUPERMARKET PTE LTD","7 JURONG WEST AVENUE 5, S(649486)","649486",1.34878489718303,103.703415655017
"SW07331C000","Sheng siong supermarket","SHENG SIONG SUPERMARKET PTE LTD","352 CLEMENTI AVENUE 2 #01-91&99, S(120352)","120352",1.31427860227337,103.771350557894
"SW07481A000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","28 DOVER CRESCENT #01-83, MULTI STOREY CAR PARK S(130028)","130028",1.30446092675742,103.781779696748
"SW07E27X000","Kingsmart","KINGSMART PTE. LTD.","30 30 PENJURU PLACE, 01-07, S(608557)","608557",1.31621113527515,103.732527239032
"SW08807K000","Cold storage","COLD STORAGE SINGAPORE (1983) PTE LTD","154 WEST COAST ROAD, WEST COAST PLAZA S(127371) #B1-19","127371",1.30358622534992,103.76610375397
"SW08821N000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","140 TECK WHYE LANE #01-351, S(680140)","680140",1.38001805825626,103.753148377762
"SW08907C000","Gowris global marketing","GOWRI'S GLOBAL MARKETING PTE. LTD.","555 UPPER JURONG ROAD #01-02, S(638368)","638368",1.32882041921836,103.677161735755
"SW08A55C000","Chd @ soon lee","CHD @ SOON LEE PTE. LTD.","51 SOON LEE ROAD #01-51A, S(628088)","628088",1.33212291013902,103.699070261789
"SW08A59X000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","63 JURONG WEST CENTRAL 3, JURONG POINT SHOPPING CENTRE S(648331) #03-01","648331",1.33931503949907,103.705351000543
"SW09032C000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","21 CHOA CHU KANG NORTH 6 #B1-01-07, YEW TEE POINT S(689578)","689578",1.39708432396576,103.746598000147
"SW09133X000","Loch grocer","LOCH GROCER PTE. LTD.","503 JURONG WEST AVENUE 1 #01-847, S(640503)","640503",1.34995541462242,103.71770480961
"SW09285K000","Fairprice finest","NTUC FAIRPRICE CO-OPERATIVE LTD","61 CHOA CHU KANG DRIVE #01-01, YEW TEE MRT STATION S(689715)","689715",1.39712886294116,103.747329717481
"SW09288C000","Sadia supermarket & trading","SADIA SUPERMARKET & TRADING (S) PTE. LTD.","14 TECH PARK CRESCENT #01-02, S(638118)","638118",1.3106942813709,103.630190012756
"SW09426V000","Phang nee","PHANG NEE ENTERPRISE PTE. LTD.","2D JALAN PAPAN #01-04, S(619415)","619415",1.32124572258872,103.729969760603
"SW10780J000","Sharbesuwary express mart","SHARBESUWARY PTE. LTD.","32 TUAS VIEW SQUARE #01-02, S(637778)","637778",1.29865806391236,103.62808808355
"SW10A16E000","Fairprice finest","NTUC FAIRPRICE CO-OPERATIVE LTD","3155 COMMONWEALTH AVENUE WEST, THE CLEMENTI MALL S(129588) #B1-12/13/14","129588",1.31555354277949,103.764596439304
"SW11423N000","Sheng siong supermarket","SHENG SIONG SUPERMARKET PTE LTD","18 TECK WHYE LANE #01-95, S(680018)","680018",1.37829768797221,103.754071398872
"SW11452C000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","78A TELOK BLANGAH STREET 32 #01-01, MULTI STOREY CAR PARK S(101078)","101078",1.27332805980948,103.808952023637
"SW11512N000","Kolee supermarkets","KEK HONG HENG","23 PENJURU WALK #03-81, CASSIA@PENJURU S(608537)","608537",1.31800980644852,103.73194890136
"SW11A26P000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","460 ALEXANDRA ROAD, MTOWER S(119963) #01-09 & #01-16","119963",1.2734502483595,103.801682844021
"SW12C98J000","Don don donki","PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.","2 JURONG EAST CENTRAL 1 #B1-12, JCUBE S(609731)","609731",1.33326351781133,103.740317485186
"SW12F58E000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","352 CLEMENTI AVENUE 2 #01-141, CLEMENTI AVENUE 2 SHOPPING CENTRE S(120352)","120352",1.31427860227337,103.771350557894
"SW12G70J000","Cold storage","COLD STORAGE SINGAPORE (1983) PTE LTD","101 CLEMENTI ROAD #01-01, KENT VALE ESTATE, NUS S(129787)","129787",1.30176130472397,103.769369391763
"SW12G71E000","Cold storage","COLD STORAGE SINGAPORE (1983) PTE LTD","1 COVE AVENUE, SENTOSA COVE ARRIVAL PLAZA S(098537) #02-07/08/09/10","098537",1.2471504050601,103.839555011268
"SW12H20A000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","498 JURONG WEST STREET 41, #01-434/436/438 S(640498) #01-434/436/438","640498",1.34833335760515,103.724307319237
"SW12J94X000","J mart","TANESEI TRADING PTE. LTD.","1 VISTA EXCHANGE GREEN #B1-28, THE STAR VISTA S(138617)","138617",1.30681500712523,103.788462732266
"SW12J97L000","Cold storage","COLD STORAGE SINGAPORE (1983) PTE LTD","1 VISTA EXCHANGE GREEN, THE STAR VISTA S(138617) #B1-35/36 AND 02","138617",1.30681500712523,103.788462732266
"SW12L48X000","Ajmal trade mart","AJMAL TRADE MART PTE. LTD.","12 KRANJI ROAD, KRANJI LODGE ONE S(739522) 1ST STOREY","739522",1.43069359839388,103.759237290643
"SW12M64L000","Sheng siong supermarket","SHENG SIONG SUPERMARKET PTE LTD","25 GHIM MOH LINK #01-11, S(270025)","270025",1.30811886342473,103.786049384646
"SW12M67E000","Sheng siong supermarket","SHENG SIONG SUPERMARKET PTE LTD","420A CLEMENTI AVENUE 1 #01-01, S(121420)","121420",1.30973331229192,103.76863729776
"SW12N25V000","Cold storage","COLD STORAGE SINGAPORE (1983) PTE LTD","31 OCEAN WAY #01-26/27, QUAYSIDE ISLE, SENTOSA S(098375)","098375",1.24706997908317,103.842182970325
"SW12O05A000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","502 WEST COAST DRIVE #01-41, S(120502)","120502",1.31190696353508,103.759128012412
"SW13245V000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","1 LOWER KENT RIDGE ROAD #02-16, ONE@KENTRIDGE S(119082)","119082",1.2935128771923,103.7846855811
"SW13Q24X000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","280 BUKIT BATOK EAST AVENUE 3 #01-315, S(650280)","650280",1.34762239826035,103.757150072517
"SW13T12J000","Fairprice xtra","NTUC FAIRPRICE CO-OPERATIVE LTD","50 JURONG GATEWAY ROAD #B1-21/22, JEM S(608549)","608549",1.3325523295069,103.743262234833
"SW13W88P000","Hao mart","HAO MART PTE. LTD.","3 GATEWAY DRIVE #B2-01, WESTGATE S(608532)","608532",1.33415752008876,103.742766489597
"SW14484J000","Sri murugan trading","SRI MURUGAN TRADING PTE. LTD.","48 TOH GUAN ROAD EAST #01-130, ENTERPRISE HUB S(608586)","608586",1.33677373268472,103.75436219411
"SW14542A000","Hillview market place","COLD STORAGE SINGAPORE (1983) PTE LTD","4 HILLVIEW RISE #02-07, HILLV2 S(667979)","667979",1.36267450828024,103.76417292006
"SW14633X000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","2 BUKIT BATOK WEST AVENUE 7 #01-10, HomeTeamNS BUKIT BATOK CLUBHOUSE S(659003)","659003",1.36577391240463,103.748520902563
"SW14718K000","Ajmal supermart","AJMAL SUPER MART PTE. LTD.","70 TUAS SOUTH AVENUE 1 #01-40, TUAS VIEW DORMITORY S(637285)","637285",1.312703972078,103.626129413176
"SW14824J000","Shinva agro foods","SHINVA AGRO FOODS PTE. LTD.","11 TECH PARK CRESCENT #01-03, S(638121)","638121",1.31100240690691,103.631572303038
"SW14951X000","Warehouse club","NTUC FAIRPRICE CO-OPERATIVE LTD","1 JOO KOON CIRCLE #03-21, FAIRPRICE HUB S(629117)","629117",1.32460664929081,103.678096359775
"SW14A33P000","Vinayak traders","VINAYAK TRADERS PTE. LTD.","27 PENJURU WALK #01-08/09, PENJURU RECREATION CENTRE S(608538)","608538",1.31865728379443,103.733152140767
"SW14A98C000","Gurus supermarket","GURU'S MARKETING PTE. LTD.","27 PENJURU WALK #01-15, PENJURU RECREATION CENTRE S(608538)","608538",1.31865728379443,103.733152140767
"SW15051V000","Archana","ARCHANA PROVISION STORES PTE. LTD.","27 PENJURU WALK #01-06/07, PENJURU RECREATION CENTRE S(608538)","608538",1.31865728379443,103.733152140767
"SW15796X000","Fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","533 CHOA CHU KANG STREET 51 #01-11, LIMBANG SHOPPING CENTRE (HDB) S(680533)","HDB) S(680533",NA,NA
